time_in,time_out,framing,cast_all,cast_singer,cast_bass,cast_drumms,styling
00:02:49:19,00:02:51:02,medium,,X,,,black
00:02:51:02,00:02:52:11,close,,X,,,black
00:02:52:11,00:02:53:05,medium,,,X,,color
00:02:53:05,00:02:54:20,close,,,,X,black
00:02:54:20,00:02:56:01,close,,X,,,black
00:02:56:01,00:02:56:09,medium,,,,X,black
00:02:56:09,00:02:56:23,full,,,,X,black
00:02:56:23,00:02:58:01,full,X,,,,black
00:02:58:01,00:02:58:19,medium,X,,,,color
00:02:58:19,00:02:59:09,medium,X,,,,black
00:02:59:09,00:03:00:03,medium,,X,,,black
00:03:00:03,00:03:00:18,medium,X,,,,black
00:03:00:18,00:03:01:11,medium,X,,,,color
00:03:01:11,00:03:02:07,medium,,,,X,color
00:03:02:07,00:03:02:14,medium,,,X,,black
00:03:02:14,00:03:03:04,full,,,X,,black
00:03:03:04,00:03:03:18,medium,,X,,,color
00:03:03:18,00:03:04:13,close,,,X,,black
00:03:04:13,00:03:05:10,full,X,,,,black
00:03:05:10,00:03:05:24,medium,,,,X,black
00:03:05:24,00:03:06:20,close,,X,,,black
00:03:06:20,00:03:07:16,medium,X,,,,color
00:03:07:16,00:03:08:05,medium,,,X,,black
00:03:08:05,00:03:08:19,close,,X,,,black
00:03:08:19,00:03:09:22,full,X,,,,black
00:03:09:22,00:03:10:09,medium,,X,,,black
00:03:10:09,00:03:11:05,medium,X,,,,black
00:03:11:05,00:03:11:21,medium,,X,,,black
00:03:11:21,00:03:12:06,close,,,X,,black
00:03:12:06,00:03:12:23,medium,,,X,,black
00:03:12:23,00:03:13:11,medium,X,,,,color
00:03:13:11,00:03:13:20,medium,,,,X,black
00:03:13:20,00:03:14:03,full,,,X,,black
00:03:14:03,00:03:14:14,medium,,,,X,black
00:03:14:14,00:03:15:00,full,,,X,,black
00:03:15:00,00:03:15:13,medium,,,,X,black
00:03:15:13,00:03:16:06,medium,X,,,,color
00:03:16:06,00:03:16:19,none,,,,,
00:03:16:19,00:03:17:08,medium,,X,,,black
00:03:17:08,00:03:17:21,none,,,,,
00:03:17:21,00:03:18:10,full,X,,,,color
00:03:18:10,00:03:18:23,none,,,,,
00:03:18:23,00:03:19:11,medium,X,,,,color
00:03:19:11,00:03:19:24,none,,,,,
00:03:19:24,00:03:20:13,full,,X,,,black
00:03:20:13,00:03:21:01,none,,,,,
00:03:21:01,00:03:21:14,full,,,X,,black
00:03:21:14,00:03:23:04,close,X,,,,color
00:03:23:04,00:03:27:24,full,X,,,,black
